Timestamp,Model,Question,Response,Evaluation,Comments
15/12/2024 14:44,Baseline Agent,Do we have similar deviations / situations in the past where we had high bacterial count in raw milk?,"SELECT description, severity
FROM nonconformityrecords nr
JOIN qualitydata q ON nr.description = 'High Bacterial Count'
WHERE q.material_type = 'Raw Milk';",,
15/12/2024 14:44,Baseline Agent,What were the root causes for the deviations?,"```sql
SELECT 
    distinct nonconformityrecords.description AS 'Root Cause'
FROM 
    nonconformityrecords
WHERE 
    nonconformityrecords.severity LIKE '%Root cause%'
ORDER BY 
    description ASC;
```

This query retrieves the root causes of deviations by filtering records with a severity that includes the phrase ""root cause"". The results are sorted in ascending order. 

Note: In SQL, it's more conventional to use single quotes around string literals instead of double quotes. Also, be aware that LIKE %...% is case-sensitive; if you want a case-insensitive search, consider using LOWER or UPPER functions on the severity column before comparing it.",0,Too spesific to find any results
15/12/2024 14:44,Baseline Agent,What actions can be taken for solving the deviations?,"```sql
SELECT DISTINCT action_taken 
FROM nonconformityrecords;
```",0,
15/12/2024 14:44,Baseline Agent,How can we reduce deviations in the future?,"SELECT COUNT(*) 
FROM nonconformityrecords 
JOIN sop ON nonconformityrecords.description = sop.procedure_name 
WHERE nonconformityrecords.severity = 'Critical' AND sop.spec_limits LIKE '%temperature%';",0,
15/12/2024 14:44,Baseline Agent,What is the total quantity of raw materials received from each supplier?,"SELECT SUM(quantity) , supplier_name FROM `rawmaterialinput` GROUP BY supplier_name",1,
15/12/2024 14:45,Baseline Agent,What is the current version of the Pasteurization Process SOP and when was it last updated?,"SELECT T1.version, T1.last_updated 
FROM sop AS T1 
WHERE T1.procedure_name = 'Pasteurization Process';",1,should give just 1 line
15/12/2024 14:45,Baseline Agent,Who were on the shift yesterday?,SELECT DISTINCT operator_name FROM shiftprocesslogs WHERE shift_date = (SELECT CURDATE() - INTERVAL 1 DAY),1,
15/12/2024 14:46,Baseline Agent,What are the specification limits for the pasteurization process according to our SOPs?,"```sql
SELECT 
    T1.spec_limits 
FROM 
    sop AS T1 
INNER JOIN 
    sop AS T2 ON T1.sop_id = T2.sop_id 
WHERE 
    T2.procedure_name = 'pasteurization';
```

This query joins the `sop` table with itself on the `sop_id` column, then selects the `spec_limits` column from the first instance of the join (`T1`) where the procedure name is 'pasteurization'.",0,wrong name
15/12/2024 14:46,Baseline Agent,What are the most recent bacteria count levels recorded in our quality tests?,"```sql
SELECT 
    qualitydata.fat_content,
    qualitydata.protein_content,
    MAX(qualitydata.bacteria_count) AS max_bacteria_count
FROM 
    qualitydata
GROUP BY 
    fat_content, protein_content;
```",,
15/12/2024 14:46,Baseline Agent,What has been the total daily production output and raw material input each day of the past week?,"SELECT 
    SUM(pd.quantity) AS total_daily_production,
    SUM(rmi.quantity) AS total_daily_raw_material_input
FROM 
    productiondata pd
JOIN 
    rawmaterialinput rmi ON DATE(pd.production_date) = DATE(rmi.arrival_timestamp)
WHERE 
    pd.production_date >= CURRENT_DATE - INTERVAL '7 days'",,
16/12/2024 12:01,Baseline Agent,What was the production volume last 24 hours?,"SELECT SUM(quantity) FROM productiondata WHERE DATE_SUB(CURRENT_TIMESTAMP(), INTERVAL 1 DAY) <= production_date",,
16/12/2024 12:01,Baseline Agent,Did we run at full capacity?,SELECT COUNT(*) FROM processdata AS pd INNER JOIN productiondata AS pd2 ON pd.process_id = pd2.production_id WHERE pd.temperature > 70 AND pd.pressure > 10 AND pd.flow_rate > 500,,
16/12/2024 12:01,Baseline Agent,What were the reason for lost time or capacity?,SELECT description FROM nonconformityrecords WHERE severity = 'Lost Time/Capacity',,
16/12/2024 12:01,Baseline Agent,How was the yield based on input raw material volume and output production?,SELECT SUM(qd.fat_content) / SUM(pd.quantity) AS yield FROM qualitydata qd INNER JOIN productiondata pd ON qd.batch_number = pd.batch_number,,
16/12/2024 12:01,Baseline Agent,What is the variation in output fat and protein last 24 hours?,"```sql
SELECT 
    AVG(T1.fat_content) AS avg_fat,
    AVG(T1.protein_content) AS avg_protein,
    MAX(T1.fat_content) - MIN(T1.fat_content) AS fat_variation,
    MAX(T1.protein_content) - MIN(T1.protein_content) AS protein_variation
FROM 
    qualitydata T1
INNER JOIN 
    productiondata T2 ON T1.batch_number = T2.batch_number
WHERE 
    T1.test_timestamp > NOW() - INTERVAL 24 HOUR;
```",,
16/12/2024 12:01,Baseline Agent,What is the process variation in the last 24 hours?,"SELECT 
    p.process_name,
    AVG(p.temperature) AS avg_temperature,
    MAX(p.pressure) AS max_pressure,
    MIN(p.flow_rate) AS min_flow_rate
FROM 
    processdata p
WHERE 
    CAST(p.start_time AS DATE) = (SELECT CURRENT_DATE - INTERVAL '1 day')
GROUP BY 
    p.process_name;",,
16/12/2024 12:01,Baseline Agent,Was the process stable?,SELECT COUNT(*) FROM `processdata` WHERE `end_time` IS NOT NULL AND `temperature` BETWEEN 20 AND 22 AND `pressure` BETWEEN 10 AND 12 AND `flow_rate` BETWEEN 5 AND 7;,,
16/12/2024 12:01,Baseline Agent,Did we have any listed entries in the shift process log?,SELECT * FROM `shiftprocesslogs` WHERE `log_entry` LIKE '%listed%',,
16/12/2024 12:01,Baseline Agent,Have we documented any non-conformities?,SELECT COUNT(*) FROM nonconformityrecords;,,
16/12/2024 12:01,Baseline Agent,Does the shift process log contain any info that could explain the problems with raw milk?,"SELECT T1.log_entry 
FROM shiftprocesslogs AS T1 
JOIN rawmaterialinput AS T2 ON T1.shift_date = T2.arrival_timestamp 
WHERE T2.material_type = 'Raw Milk' AND T1.log_id IN ( SELECT log_id FROM shiftprocesslogs WHERE log_entry LIKE '%raw milk%' );",,
16/12/2024 12:02,Baseline Agent,Do we have similar deviations / situations in the past where we had high bacterial count in raw milk?,"SELECT nonconformityrecords.record_id, nonconformityrecords.deviation_timestamp, qualitydata.bacteria_count FROM nonconformityrecords INNER JOIN qualitydata ON nonconformityrecords.description = 'High Bacterial Count' AND qualitydata.batch_number = 'Raw Milk' WHERE qualitydata.bacteria_count > 100000 ORDER BY nonconformityrecords.deviation_timestamp DESC LIMIT 1;",,
16/12/2024 12:02,Baseline Agent,What were the root causes for the deviations?,SELECT description FROM nonconformityrecords WHERE severity = 'Root Cause',,
16/12/2024 12:02,Baseline Agent,What actions can be taken for solving the deviations?,SELECT action_taken FROM nonconformityrecords;,,
16/12/2024 12:02,Baseline Agent,How can we reduce deviations in the future?,"SELECT deviation_timestamp, description 
FROM nonconformityrecords 
WHERE severity = 'minor' AND action_taken LIKE '%corrective%'",,
16/12/2024 12:02,Baseline Agent,What is the total quantity of raw materials received from each supplier?,"SELECT SUM(quantity) AS total_quantity, supplier_name FROM rawmaterialinput GROUP BY supplier_name;",,
16/12/2024 12:02,Baseline Agent,What is the current version of the Pasteurization Process SOP and when was it last updated?,"```sql
SELECT 
    T1.procedure_name,
    T2.version,
    T2.last_updated
FROM 
    sop AS T1
INNER JOIN 
    sop AS T2 ON T1.sop_id = T2.sop_id AND T1.description = 'Pasteurization Process'
WHERE 
    T1.description = 'Pasteurization Process'
```",,
16/12/2024 12:02,Baseline Agent,Who were on the shift yesterday?,SELECT DISTINCT operator_name FROM shiftprocesslogs WHERE DATE(shift_date) = (CURRENT_DATE - INTERVAL 1 DAY),,
16/12/2024 12:02,Baseline Agent,What are the specification limits for the pasteurization process according to our SOPs?,"```sql
SELECT 
    T1.spec_limits
FROM 
    sop AS T1
INNER JOIN 
    sop AS T2 ON T1.sop_id = T2.process_guidelines
WHERE 
    T2.procedure_name = 'Pasteurization';
```",,
16/12/2024 12:02,Baseline Agent,What are the most recent bacteria count levels recorded in our quality tests?,"```sql
SELECT MAX(bacteria_count) AS max_bacteria_count
FROM qualitydata;
```

This SQL query will return the highest bacteria count level that has been recorded in all quality tests. The `MAX` aggregation function is used to find the maximum value in the `bacteria_count` column of the `qualitydata` table.",,
16/12/2024 12:02,Baseline Agent,What has been the total daily production output and raw material input each day of the past week?,"SELECT 
  SUM(T1.quantity) AS total_daily_production,
  SUM(T2.quantity) AS total_daily_raw_material_input
FROM 
  productiondata T1 
  INNER JOIN rawmaterialinput T2 ON T1.production_date = T2.arrival_timestamp 
WHERE 
  T1.production_date BETWEEN CURRENT_DATE - INTERVAL '7' DAY AND CURRENT_DATE",,
16/12/2024 12:09,Baseline Agent,What was the production volume last 24 hours?,SELECT SUM(quantity) FROM productiondata WHERE production_date = '2024-10-18',,
16/12/2024 12:09,Baseline Agent,Did we run at full capacity?,"SELECT SUM(quantity) 
FROM productiondata 
WHERE production_date = '2024-10-19';",,
16/12/2024 12:09,Baseline Agent,What were the reason for lost time or capacity?,SELECT DISTINCT T1.description FROM nonconformityrecords AS T1 INNER JOIN reports AS T2 ON 1=1 WHERE T2.report_content LIKE '%Lost Time%' AND T2.start_date = '2024-10-19' AND T2.end_date = '2024-10-19',,
16/12/2024 12:09,Baseline Agent,How was the yield based on input raw material volume and output production?,"SELECT SUM(p.quantity) / SUM(r.quantity) AS yield_ratio
FROM productiondata p
JOIN rawmaterialinput r ON p.batch_number = r.material_id
WHERE p.production_date = '2024-10-19';",,
16/12/2024 12:09,Baseline Agent,What is the variation in output fat and protein last 24 hours?,"SELECT 
    SUM(CASE WHEN quality_id = 1 THEN 1 ELSE 0 END) AS fat,
    SUM(CASE WHEN quality_id = 2 THEN 1 ELSE 0 END) AS protein
FROM 
    qualitydata
WHERE 
    test_timestamp >= '2024-10-19' AND 
    DATEDIFF(HOUR, test_timestamp, '2024-10-20') <= 24;",,
16/12/2024 12:09,Baseline Agent,What is the process variation in the last 24 hours?,"SELECT AVG(p.temperature) as avg_temp, p.process_name 
FROM processdata p 
JOIN shiftprocesslogs s ON p.start_time > '2024-10-17' AND p.end_time < '2024-10-19' 
GROUP BY p.process_name;",,
16/12/2024 12:09,Baseline Agent,Was the process stable?,"SELECT COUNT(DISTINCT pd.process_id) 
FROM processdata pd 
WHERE 2024-10-19 BETWEEN pd.start_time AND pd.end_time;",,
16/12/2024 12:09,Baseline Agent,Did we have any listed entries in the shift process log?,SELECT * FROM `shiftprocesslogs` WHERE `log_entry` = 'listed' AND `shift_date` = '2024-10-19';,,
16/12/2024 12:09,Baseline Agent,Have we documented any non-conformities?,SELECT COUNT(DISTINCT record_id) FROM nonconformityrecords WHERE resolved_date = '2024-10-19' AND action_taken IS NOT NULL;,,
16/12/2024 12:10,Baseline Agent,Does the shift process log contain any info that could explain the problems with raw milk?,"```sql
SELECT 
    s.spec_limits,
    r.log_entry
FROM 
    rawmaterialinput rm
INNER JOIN 
    reports r ON CAST(rm.arrival_timestamp AS DATE) BETWEEN CAST('2024-10-19' AS DATE) - INTERVAL '7 DAY' AND CAST('2024-10-19' AS DATE)
LEFT JOIN 
    qualitydata qd ON rm.batch_number = qd.batch_number
INNER JOIN 
    sop s ON s.procedure_name LIKE '%Raw Milk Quality Check%'
WHERE 
    r.report_type = 'Shift Process Log'
AND 
    rm.material_type = 'Milk'
ORDER BY 
    s.spec_limits;
```",,
16/12/2024 12:10,Baseline Agent,Do we have similar deviations / situations in the past where we had high bacterial count in raw milk?,"```sql
SELECT COUNT(DISTINCT nonconformityrecords.record_id) as num_records
FROM nonconformityrecords 
JOIN qualitydata ON nonconformityrecords.description = 'high_bacterial_count' AND qualitydata.bacteria_count > 1000000 AND DATE(qualitydata.test_timestamp) <= '2024-10-19'
WHERE nonconformityrecords.severity = 'critical' 
AND nonconformityrecords.action_taken != 'no_action';
```",,
16/12/2024 12:10,Baseline Agent,What were the root causes for the deviations?,SELECT DISTINCT description FROM nonconformityrecords WHERE severity = 'Root Cause',,
16/12/2024 12:10,Baseline Agent,What actions can be taken for solving the deviations?,SELECT DISTINCT action_taken FROM nonconformityrecords WHERE deviation_timestamp <= '2024-10-19',,
16/12/2024 12:10,Baseline Agent,How can we reduce deviations in the future?,"SELECT 
    COUNT(*) as 'total_deviation_count',
    description,
    severity
FROM 
    nonconformityrecords
WHERE 
    deviation_timestamp <= '2024-10-19'
GROUP BY 
    description, severity;",,
16/12/2024 12:10,Baseline Agent,What is the total quantity of raw materials received from each supplier?,"SELECT SUM(quantity) AS total_quantity, supplier_name FROM `rawmaterialinput` WHERE arrival_timestamp BETWEEN '2024-01-01' AND '2024-10-19' GROUP BY supplier_name;",,
16/12/2024 12:10,Baseline Agent,What is the current version of the Pasteurization Process SOP and when was it last updated?,"SELECT T1.version, T1.last_updated
FROM sop AS T1
INNER JOIN processdata AS T2 ON T2.process_id = ( SELECT process_id FROM sop WHERE procedure_name = 'Pasteurization Process' )",,
16/12/2024 12:10,Baseline Agent,Who were on the shift yesterday?,"SELECT DISTINCT T2.operator_name FROM shiftprocesslogs AS T1 
JOIN sop AS T3 ON T1.shift_date = '2024-10-19' AND T1.shift_number = T3.sop_id
JOIN rawmaterialinput AS T2 ON T3.material_type = T2.material_type
WHERE T1.shift_date = '2024-10-18'",,
16/12/2024 12:10,Baseline Agent,What are the specification limits for the pasteurization process according to our SOPs?,SELECT spec_limits FROM sop WHERE procedure_name = 'pasteurization' AND last_updated <= '2024-10-19',,
16/12/2024 12:10,Baseline Agent,What are the most recent bacteria count levels recorded in our quality tests?,SELECT MAX(`qualitydata`.bacteria_count) AS max_bacteria_count FROM `qualitydata` WHERE DATE(`qualitydata`.test_timestamp) = '2024-10-19',,
16/12/2024 12:10,Baseline Agent,What has been the total daily production output and raw material input each day of the past week?,"```sql
SELECT 
    prod.product_name AS product,
    rm.material_type AS material,
    SUM(prod.quantity) AS total_daily_production_output,
    SUM(rm.quantity) AS total_raw_material_input
FROM 
    productiondata prod
JOIN 
    rawmaterialinput rm ON prod.batch_number = rm.batch_number AND prod.production_date BETWEEN '2024-10-12' AND '2024-10-19'
WHERE 
    prod.production_date BETWEEN '2024-10-12' AND '2024-10-19'
GROUP BY 
    prod.product_name,
    rm.material_type
ORDER BY 
    prod.product_name,
    rm.material_type;
```",,
16/12/2024 12:13,Baseline Agent,What was the production volume last 24 hours?,SELECT SUM(quantity) FROM `productiondata` WHERE `production_date` = '2024-10-19',,
16/12/2024 12:13,Baseline Agent,Did we run at full capacity?,"SELECT COUNT(*) 
FROM productiondata 
WHERE production_date = '2024-10-19' AND quantity = ( SELECT MAX(quantity) FROM productiondata );",,
16/12/2024 12:13,Baseline Agent,What were the reason for lost time or capacity?,"SELECT T1.description 
FROM nonconformityrecords AS T1 
WHERE T1.action_taken LIKE ""%lost time%"" OR T1.action_taken LIKE ""%lost capacity%"";",,
16/12/2024 12:13,Baseline Agent,How was the yield based on input raw material volume and output production?,"SELECT 
    SUM(p.quantity) AS total_yield,
    r.quantity AS total_raw_material
FROM 
    productiondata p
JOIN 
    rawmaterialinput r ON p.batch_number = r.material_id
WHERE 
    DATE('2024-10-19') BETWEEN '2024-10-19' AND (
        SELECT MAX(start_time) FROM processdata 
    )
GROUP BY 
    r.quantity;",,
16/12/2024 12:13,Baseline Agent,What is the variation in output fat and protein last 24 hours?,"SELECT AVG(fat_content) as avg_fat, AVG(protein_content) as avg_protein FROM qualitydata WHERE test_timestamp >= '2024-10-19' - INTERVAL 1 DAY",,
16/12/2024 12:14,Baseline Agent,What is the process variation in the last 24 hours?,"SELECT 
    P.process_name,
    (PD.temperature - PD1.temperature) AS temperature_variation
FROM 
    processdata PD
JOIN 
    processdata PD1 ON P.process_id = PD1.process_id AND 
                     DATE(PD.start_time) = DATE(PD1.end_time)
                     AND PD.start_time > '2024-10-19' - INTERVAL 24 HOUR
JOIN 
    processdata P ON PD.process_id = P.process_id
ORDER BY 
    PD.process_name;",,
16/12/2024 12:14,Baseline Agent,Was the process stable?,"SELECT 
    COUNT(DISTINCT p.process_id) AS stable_processes
FROM 
    productiondata pd
JOIN 
    processdata p ON pd.batch_number = p.process_name
WHERE 
    production_date = '2024-10-19'
    AND p.temperature BETWEEN 20 AND 25
    AND p.pressure BETWEEN 1.0 AND 2.0
    AND p.flow_rate BETWEEN 5.0 AND 15.0;",,
16/12/2024 12:14,Baseline Agent,Did we have any listed entries in the shift process log?,"SELECT COUNT(*) 
FROM `shiftprocesslogs` 
WHERE `date` = '2024-10-19';",,
16/12/2024 12:14,Baseline Agent,Have we documented any non-conformities?,"SELECT COUNT(record_id) 
FROM ""nonconformityrecords"" WHERE deviation_timestamp <= '2024-10-19' AND resolved_date IS NULL",,
16/12/2024 12:14,Baseline Agent,Does the shift process log contain any info that could explain the problems with raw milk?,"SELECT *
FROM `shiftprocesslogs`
JOIN `rawmaterialinput` ON CAST(`shiftprocesslogs`.shift_date AS DATE) = CAST(`rawmaterialinput`.arrival_timestamp AS DATE)
WHERE EXTRACT(DAY FROM `shiftprocesslogs`.shift_date) = 19 AND EXTRACT(MONTH FROM `shiftprocesslogs`.shift_date) = 10
AND `rawmaterialinput`.material_type LIKE '%milk%'",,
16/12/2024 12:14,Baseline Agent,Do we have similar deviations / situations in the past where we had high bacterial count in raw milk?,"SELECT DISTINCT T1.description 
FROM nonconformityrecords AS T1
JOIN qualitydata AS T2 ON T2.batch_number = 'raw milk'
WHERE severity = 'high' AND description LIKE '%bacterial count%' AND T1.deviation_timestamp BETWEEN '2024-10-19 00:00:00' AND '2024-10-20 23:59:59'",,
16/12/2024 12:14,Baseline Agent,What were the root causes for the deviations?,SELECT T1.description FROM nonconformityrecords AS T1 INNER JOIN sop AS T2 ON T1.sop_id = T2.sop_id WHERE T1.deviation_timestamp BETWEEN '2024-10-19' AND NOW() - INTERVAL 24 HOUR GROUP BY T1.description ORDER BY COUNT(*) DESC LIMIT 5,,
16/12/2024 12:14,Baseline Agent,What actions can be taken for solving the deviations?,"SELECT DISTINCT action_taken 
FROM nonconformityrecords 
WHERE deviation_timestamp BETWEEN '2024-10-19' AND '2024-10-19' + INTERVAL 1 DAY;",,
16/12/2024 12:14,Baseline Agent,How can we reduce deviations in the future?,"SELECT 
    COUNT(DISTINCT nonconformityrecords.record_id) AS total_deviations,
    sop.procedure_name
FROM 
    nonconformityrecords
JOIN 
    sop ON nonconformityrecords.description = sop.spec_limits
WHERE 
    nonconformityrecords.deviation_timestamp BETWEEN '2024-10-19' AND '2024-10-19'
GROUP BY 
    sop.procedure_name;",,
16/12/2024 12:14,Baseline Agent,What is the total quantity of raw materials received from each supplier?,"SELECT SUM(T1.quantity) as Total_Quantity, T2.supplier_name FROM rawmaterialinput AS T1 INNER JOIN `rawmaterialinput` AS T2 ON T1.material_id = T2.material_id WHERE T1.arrival_timestamp BETWEEN '2024-10-19 00:00:00' AND '2024-10-20 23:59:59' GROUP BY T2.supplier_name",,
16/12/2024 12:14,Baseline Agent,What is the current version of the Pasteurization Process SOP and when was it last updated?,"SELECT T1.version 
FROM sop AS T1 
INNER JOIN processdata AS T2 ON T1.process_guidelines = T2.process_name AND T1.description = 'Pasteurization Process' 
WHERE T2.start_time <= 2024-10-19 AND T2.end_time >= 2024-10-19",,
16/12/2024 12:14,Baseline Agent,Who were on the shift yesterday?,SELECT DISTINCT operator_name FROM shiftprocesslogs WHERE shift_date = '2024-10-18',,
16/12/2024 12:14,Baseline Agent,What are the specification limits for the pasteurization process according to our SOPs?,"SELECT 
  T1.spec_limits
FROM 
  sop AS T1
INNER JOIN 
  processdata AS T2 ON T1.sop_id = T2.process_id
WHERE 
  T2.process_name = 'pasteurization' AND 
  T1.last_updated <= '2024-10-19';",,
16/12/2024 12:14,Baseline Agent,What are the most recent bacteria count levels recorded in our quality tests?,"SELECT MAX(`qualitydata`.bacteria_count) AS max_bacteria_count 
FROM `qualitydata` WHERE `qualitydata`.`test_timestamp` = '2024-10-19'",,
16/12/2024 12:14,Baseline Agent,What has been the total daily production output and raw material input each day of the past week?,"```sql
SELECT 
    productiondata.production_date AS date,
    SUM(productiondata.quantity) AS daily_production_output,
    SUM(rawmaterialinput.quantity) AS daily_raw_material_input
FROM 
    productiondata
JOIN 
    rawmaterialinput ON productiondata.batch_number = rawmaterialinput.material_id
WHERE 
    productiondata.production_date >= '2024-10-12'
GROUP BY 
    productiondata.production_date;
```",,
